z_m,T_ci_C,T_co_C
8.763000000000369383e-01,3.946777614544575954e+02,3.470483756532958637e+02
8.890000000000370939e-01,3.943504142534267203e+02,3.470445693627113428e+02
9.017000000000372495e-01,3.940189303459596886e+02,3.470406959054058689e+02
9.144000000000374051e-01,3.936833338056048319e+02,3.470367546098336220e+02
9.271000000000375607e-01,3.933436490090360849e+02,3.470327447825245599e+02
9.398000000000377163e-01,3.929999006340727306e+02,3.470286657072578009e+02
9.525000000000378719e-01,3.926521136576328672e+02,3.470245166441927722e+02
9.652000000000380275e-01,3.923003133536250289e+02,3.470202968289554519e+02
9.779000000000381831e-01,3.919445252907713098e+02,3.470160054716771469e+02
9.906000000000383388e-01,3.915847753303575587e+02,3.470116417559831348e+02
1.003300000000038494e+00,3.912210896239104159e+02,3.470072048379269063e+02
1.016000000000038650e+00,3.908534946107953942e+02,3.470026938448682472e+02
1.028700000000038806e+00,3.904820170157331631e+02,3.469981078742898148e+02
1.041400000000038961e+00,3.901066838462297710e+02,3.469934459925495958e+02
1.054100000000039117e+00,3.897275223899155776e+02,3.469887072335639004e+02
1.066800000000039272e+00,3.893445602117889166e+02,3.469838905974175418e+02
1.079500000000039428e+00,3.889578251513599412e+02,3.469789950488946033e+02
1.092200000000039584e+00,3.885673453196860692e+02,3.469740195159262726e+02
1.104900000000039739e+00,3.881731490962978910e+02,3.469689628879483507e+02
1.117600000000039895e+00,3.877752651260047969e+02,3.469638240141632082e+02
1.130300000000040050e+00,3.873737223155750939e+02,3.469586017016989672e+02
1.143000000000040206e+00,3.869685498302819724e+02,3.469532947136585221e+02
1.155700000000040362e+00,3.865597770903106607e+02,3.469479017670507801e+02
1.168400000000040517e+00,3.861474337670114210e+02,3.469424215305946859e+02
1.181100000000040673e+00,3.857315497789952019e+02,3.469368526223876188e+02
1.193800000000040828e+00,3.853121552880572835e+02,3.469311936074268488e+02
1.206500000000040984e+00,3.848892806949193641e+02,3.469254429949734799e+02
1.219200000000041140e+00,3.844629566347754235e+02,3.469195992357467162e+02
1.231900000000041295e+00,3.840332139726320406e+02,3.469136607189345227e+02
1.244600000000041451e+00,3.836000837984232703e+02,3.469076257690063585e+02
1.257300000000041607e+00,3.831635974218860952e+02,3.469014926423125189e+02
1.270000000000041762e+00,3.827237863671802529e+02,3.468952595234514433e+02
1.282700000000041918e+00,3.822806823672292467e+02,3.468889245213867980e+02
1.295400000000042073e+00,3.818343173577633820e+02,3.468824856652924495e+02
1.308100000000042229e+00,3.813847234710421503e+02,3.468759409001024210e+02
1.320800000000042385e+00,3.809319330292263430e+02,3.468692880817399100e+02
1.333500000000042540e+00,3.804759785373751129e+02,3.468625249719973453e+02
1.346200000000042696e+00,3.800168926760337058e+02,3.468556492330359902e+02
